Top total rewards,
P-avax1tzaj4waztzqjpz7fthpzvaddup26aatwnwvcu4,52975.268373756
P-avax1lgw2khw6wchmux9k6www4q9du0hyujaunjqvh4,52884.062936025
P-avax1nq59zlpl69pqvdnhmn9ux40pfxsdn84gp2lqg5,52856.956607383
P-avax1j0xl0dzrq3nnxt76ce4q632dcqhkgtnsvw8rw6,52790.35837933
P-avax1j2j0vzttatv73gr7j4tnd7rp4el3ngcyjy0pre,52790.018488055
P-avax1rfp6u7xtw3gyuqp24x4d03vvp55wvah48g3n4u,52768.153884627
P-avax1666xn08s4ytquqxtax4e3rasjhy05vtvnn6q4a,52695.521462059
P-avax1lzj8fj75aux2he0wwvtaydzgucdr44tah8rupk,52686.294839706
P-avax1nkmpdds28su8ktgu8heec7q26zjj9jq2a6skth,52603.224552814005
P-avax19kty4f97hc70j7wl3lpmt4skfehykcuahd9lm5,52539.848016901
P-avax1v75kxuqjq2qh470s6pkjhz84fnjnkz82v47rxh,52466.096415839
P-avax1amj972dqu0gud3xkxreucydukfdrlq96gxnqsl,52335.65165049
P-avax1440jsl896zt3jn3nchy98ny2w6sf2r5k4rp5xt,51721.660984461
P-avax196xukpzlvgvpuj3p8rjg2yuckc9xjkejs3k6an,49557.822228412
P-avax1mp6mfh4cztfvqf8mma8fada3ftksh39egn000l,47073.00159789799
P-avax1t3rhlzn8xprlq0udrp2zmruuvwmq0l668whevm,37963.465077737
P-avax1gn8w65lh3fj30fqw28hulqvdtptjzqxmc55exe,31148.667887867996
P-avax1ey23rrlh29pvtd4ql6r6pyjckddul3kgtdt672,28145.5738
P-avax1qmac0p5njtsaddsd0zumuv3nu7f7as0w0sjhpt,24098.709619868
P-avax1m6jwlq8k2x4g94mrynugftxtt0295mmyepx3s3,21740.775708249002
P-avax1c8wdartq8g9fxylx0twxswj3z62lsa2sw4rwm9,21400.64063667
P-avax1clfavq6wjm7htnx9p9xce7zznvrq9z2w6rvn2t,20537.689845210003
P-avax1ur9fc9qlfh3gpp8lstspaqlrh90skk0v4na63d,19999.547290855
P-avax1cqtkj8rzp9jgamqwhgxzlnwupxfkymcajyn4nl,19538.971888485
P-avax1j8t0zy6f3kuwehqj7xexz0vfasnplu69ypn6kl,19521.68036
P-avax1gxu2vsgy0m2r3eh0jyv8hrhxg85rvdwjys0sr5,18718.036206299
P-avax1xg0a0grljq0z5kcw4964g25zusuk3wfztzmkrs,15690.201415404
P-avax14s2302vynclhxy9p8gs5pnjm8xmyw4yeyudw7l,15399.794448517001
P-avax1dqdmxa4fxcxf65u94craezpkxx7p6mavzzpuaz,14105.456349265998
Popular nodes by delegators,
NodeID-NkYLNRp4S6exbWamVvMzUUpXvHeVEzLR6,383
NodeID-HpMSfYT2ox1vkr1hFNMwmdWuq8QWhvH2u,261
NodeID-NJ8iSYPYPqU9TyPbjadkNFyjjWJdCgpLg,219
NodeID-BHK7drcmNhLnePTFwWXaQNRMVB4MrJLzU,216
NodeID-P5zxQ1Y22ztxzjunvJU1y8BiSjdP4RUwY,201
NodeID-CW1oWgrfSJVz1mbyBGF1qk74XHRQ5vNhF,190
NodeID-N2t1CAS75972obgtRPHwVanMnRF1rRo1B,161
NodeID-9jFyex1HDP581kQufBBjGuNARQEQ9nJEx,155
NodeID-V5R4XjWDtjs8Zi2g3TRNzngnGJiXm2ic,142
NodeID-L7WQizfKW9Y1GZdL9oxKtp5QzgYhViySP,141
NodeID-AePm1t63f4TKZayW3q4C2E6K4ZHTY2o2D,126
NodeID-E2cZYRHSCUKk7wBia3Pmg1gFT6Y8A5Vxo,122
NodeID-MGrikMRTmooL1j7uawPHjaMS1cXkbewdb,120
NodeID-5CJrhHPQdF5MKk6yvarjwBB7WJPBxPEAe,117
NodeID-LvKMfPzfWT1VfAPLef6denZ8hTwSAFMGY,108
NodeID-KCQARVq1pjYw31EPSaW9571giKoFH498X,107
NodeID-MXNBsr8xSHE9CKfmyzvBYyEzxAbLuHTAn,104
NodeID-Le5rVEBBPdgYEcEJpvYeKo36hRs75WE5S,75
NodeID-7CCynVtyQVRBTCjzpfrsrSuaCTjXw7o3G,65
NodeID-QHEv5so6SF3J6f1scKtWz8zhG2X4KwtN1,65
NodeID-KtJLagoYnWfw2oBnRki63NcguiGjuA2Cr,64
NodeID-JRNiPWVdV7Vq7MzBmAQB4jekNTfvRAedj,63
NodeID-FTUxYrp4cPZwaZf7Ut8pVtsrbJWVv54zF,61
NodeID-EmPwabyobnM3jYDvQuxZdLBTut5V5pq2n,59
NodeID-E14zCEsVh4oxzcWUVrs7kFGA8ffrhYvNn,59
NodeID-GSgaA47umS1px2ohVjodW9621Ks63xDxD,57
NodeID-D3onstuMsGRctDjbksXU6BV3rrCbWHkB9,57
NodeID-FVgkUobMuUBABuMA2KngEsm2SG9XLGvdW,55
