Disclaimer: I extracted this by injecting printing statements in the P-Chain code. There is no warranty for accuracy and it is all your responsibility to use this data.,,,,,
Tx ID,Address,Reward Type,nAVAX,Node,Time
# block,131476,,,,
jWgE5KiiCejNYbYGDzhu9WAXrAdgwav9EXuycNVdB62rSU4tH,P-avax1a45dgarmwutzng4r25l25lnfltzetsrcjyp0m2,staking,21173514157,NodeID-2JdttE7aUb19pgp9rJifgrkbHpv79cCGx,2020-10-06T03:34:14Z
# block,131741,,,,
nHKNSEj6oXf9vHcp6eaziZdafw6HrjySGQv1qUPRcME1PTZmj,P-avax1efz8chevs4pcr3qd29dzgyuwajkva78f892066,staking,68774794738,NodeID-Eef8RycdBGmSe9tCZ1biGTLLYrkCHZPUS,2020-10-06T04:16:45Z
# block,131829,,,,
kKF8bf93tMDtRb7Tu28nm8gpkCxGmq3S1YwYacaK6Q9s1PHJJ,P-avax1ztjqu66j88ccrn297nm86d44ss69qakup88pxa,staking,5474935398011,NodeID-4gTwepTF5fcacXB7gdYZLTtfSFsYh4faj,2020-10-06T04:49:07Z
# block,131865,,,,
FLaYh2XFJ3a7h947A4nCTySFja74iUjiVi5CWCry9axz7xe32,P-avax128k36vkkjygnhhr8p2u9p9nqp75de5yhm5a5ut,delegator,6796263783,NodeID-V5R4XjWDtjs8Zi2g3TRNzngnGJiXm2ic,2020-10-06T04:50:53Z
FLaYh2XFJ3a7h947A4nCTySFja74iUjiVi5CWCry9axz7xe32,P-avax1dqdmxa4fxcxf65u94craezpkxx7p6mavzzpuaz,delegatee,755140421,NodeID-V5R4XjWDtjs8Zi2g3TRNzngnGJiXm2ic,2020-10-06T04:50:53Z
# block,131897,,,,
2NGsDbAdnLTZpmGsCNRXzMkrdkxaH9WTWXcnpe8KakEGL33Coy,P-avax1ztjqu66j88ccrn297nm86d44ss69qakup88pxa,staking,5474767818523,NodeID-MXNBsr8xSHE9CKfmyzvBYyEzxAbLuHTAn,2020-10-06T04:50:59Z
# block,131987,,,,
qBcryeDFBvzP6aXTq9NkFKY54iMqGG4mjybYrW7JPoX7PNx9H,P-avax1ztjqu66j88ccrn297nm86d44ss69qakup88pxa,staking,5474601281132,NodeID-PBirKHpUvffdD4NtD7ZgKRTUN7MMPuV7N,2020-10-06T04:52:09Z
# block,132071,,,,
d2CAbFDPAwFhaxq83Xpdyuraj96FqtyEJvmPRqR5pvkpdhKBY,P-avax1ztjqu66j88ccrn297nm86d44ss69qakup88pxa,staking,5474349080325,NodeID-Czad1HpuKiJPZX9CZLts9RKqL2cUxzAWb,2020-10-06T04:56:31Z
# block,132163,,,,
P5mafPpgGGcEBoL2sq8KDqsuaGGx3WN2t2wC19Y8AnPyR93Lj,P-avax1ztjqu66j88ccrn297nm86d44ss69qakup88pxa,staking,5474182568259,NodeID-7hYstd23YKDPGgutnHwnLCqxvynFxNzzw,2020-10-06T04:57:39Z
# block,132259,,,,
2nT9beMwUpigyYTp3hYvvh8NBeByPCnzXp7sQKXQnj6EwYjwyS,P-avax1ztjqu66j88ccrn297nm86d44ss69qakup88pxa,staking,5474009416393,NodeID-ETB4oa1tpAsWfuNK7WZkRGKGnL1eEDpdf,2020-10-06T04:58:25Z
# block,132351,,,,
2vGQa8cp7JGtTapxuhK1Q2Mrrx3vffhpwBFEtDXnn7qJ5hvzML,P-avax1tw4qyf9lqgcg8wcg9uq0wqkqw4n48zw4lsemp5,staking,13963491818,NodeID-GN3mbDwmhdWKzRDMTYpJCKWUdnJ33F5J2,2020-10-06T04:59:12Z
# block,132437,,,,
43SuqJCLoA2GSURWQubBgFnvH6kgD24TzpS7L4Wu5QLdWvs78,P-avax1ztjqu66j88ccrn297nm86d44ss69qakup88pxa,staking,5662424937090,NodeID-2gwZ5HWZ2ZspALAbqtuNfddD7oSmQkDxd,2020-10-06T05:00:44Z
# block,133011,,,,
v8rkVhSfnR7L56QqyeQDSR1KL8TT5SnQ6VSYGdConXAFWCRdM,P-avax1zecdkd6nvm3qn2al8gwjgw4he3sshhl3djw78u,staking,7550949635,NodeID-6XJDfJxuDfmmLcspeeDVAoPSoi4e16LMo,2020-10-06T05:41:18Z
# block,133114,,,,
pFZaUzUf4dr9H7oxUUoMV1qaekbESC3wocjKkUxhdeN5uRmuK,P-avax12xmwf68n88xr2h7padcj2gy5f5djzj9u5pj5zl,staking,340367259836,NodeID-7Aqa2Z7YsVyRExkxLPzXeWzG6r2C45ebJ,2020-10-06T06:00:58Z
# block,133310,,,,
21y551ukYPzciiCtRwiPvVgqZXZrEoijawjZhpbroovZUgrjcE,P-avax1jkr4ucmeaj403607smap5pzcukj5me8hvuj0g5,staking,11401614697,NodeID-KuUCsXW5gCaVthX5fnT4XgpyJh33YLAvS,2020-10-06T06:11:24Z
# block,133500,,,,
2WorUU7VR6fCUbUpGmPmCQQvth7E9MbZH44tmK9JztZJg1tRuE,P-avax1ewadavct67nmgc5kcytju5ngfm40cj3fl9nrm8,staking,169846126430,NodeID-JetqWrStX9pDGTm7XA6RCzCu8Hd8Ld7eQ,2020-10-06T06:24:58Z
# block,133557,,,,
2nxTXXLj1PGnbSsNCXP9onCdbXnk1Xh7dpq7gRCb4f2uQVNTB8,P-avax1h5857s0skczpvuanj64m20mgh3n8sqzsk4hh4j,delegator,5367253005,NodeID-D87m2bQzEg9rquqT72zHp9BffaismCzKJ,2020-10-06T06:30:02Z
2nxTXXLj1PGnbSsNCXP9onCdbXnk1Xh7dpq7gRCb4f2uQVNTB8,P-avax1pfew0mazgzl4uwsmvs9sghtpeamjvt760k7l77,delegatee,1341813252,NodeID-D87m2bQzEg9rquqT72zHp9BffaismCzKJ,2020-10-06T06:30:02Z
# block,133759,,,,
oTBbxDchg6EQA9ZzS6EPVx6yom5x3EimviovgWmj6qhHGT3uR,P-avax1rle2s43wpua6tauv4wz9p6myt6l08vw5z73axx,delegator,14986836544,NodeID-HJFNRi3aPyHGDqVCNUw3MMbSHBepsQi2F,2020-10-06T06:43:41Z
oTBbxDchg6EQA9ZzS6EPVx6yom5x3EimviovgWmj6qhHGT3uR,P-avax18eecywv0pxl35w3tu3zm0xscm0fu77qfykkz3w,delegatee,305853808,NodeID-HJFNRi3aPyHGDqVCNUw3MMbSHBepsQi2F,2020-10-06T06:43:41Z
# block,133794,,,,
RjvSfi9XV8cFKCXL3pMvHLD1fwi5sTZ1Q7dUvUqKBQqq6mr4C,P-avax1madr7u74w8jjjmqea27laajr94zryc2j2ss5kl,delegator,5030380563,NodeID-CgbgB1UFpUESETV1CVGDM17bE9JA4tVHK,2020-10-06T06:46:15Z
RjvSfi9XV8cFKCXL3pMvHLD1fwi5sTZ1Q7dUvUqKBQqq6mr4C,P-avax1madr7u74w8jjjmqea27laajr94zryc2j2ss5kl,delegatee,102660828,NodeID-CgbgB1UFpUESETV1CVGDM17bE9JA4tVHK,2020-10-06T06:46:15Z
# block,133833,,,,
2jMLJ9xhFsnLAAZjtaWig7L2FWLKsURrzQv6BL5ZeZaZVZQ2v8,P-avax1madr7u74w8jjjmqea27laajr94zryc2j2ss5kl,delegator,3691400321,NodeID-CgbgB1UFpUESETV1CVGDM17bE9JA4tVHK,2020-10-06T06:48:56Z
2jMLJ9xhFsnLAAZjtaWig7L2FWLKsURrzQv6BL5ZeZaZVZQ2v8,P-avax1madr7u74w8jjjmqea27laajr94zryc2j2ss5kl,delegatee,75334701,NodeID-CgbgB1UFpUESETV1CVGDM17bE9JA4tVHK,2020-10-06T06:48:56Z
# block,133973,,,,
2sDf73chsTDgP3G2Mv3dQKbi73g22gGPE7MM12nZ12nCmfAwmn,P-avax1h5857s0skczpvuanj64m20mgh3n8sqzsk4hh4j,delegator,75719811,NodeID-GSgaA47umS1px2ohVjodW9621Ks63xDxD,2020-10-06T06:54:18Z
2sDf73chsTDgP3G2Mv3dQKbi73g22gGPE7MM12nZ12nCmfAwmn,P-avax1u6qxhl5775yzslxpjvptw966vs55f2rg38x8qh,delegatee,18929953,NodeID-GSgaA47umS1px2ohVjodW9621Ks63xDxD,2020-10-06T06:54:18Z
# block,134073,,,,
2VXYD7u2vVLC7jKKXmbCanK81nLotsQBNVRNFnam553YuEfRtf,P-avax1nkg97gsevaly0gf3mg94haq9htj83khqk55a00,delegator,8722545000,NodeID-7VNmYGnPqN4NcAgEszTEZrLVsR5hykTSN,2020-10-06T06:58:03Z
2VXYD7u2vVLC7jKKXmbCanK81nLotsQBNVRNFnam553YuEfRtf,P-avax1cd7yszcsl56ewn2rrgdpwts3m5tzc8qf20sruu,delegatee,363439375,NodeID-7VNmYGnPqN4NcAgEszTEZrLVsR5hykTSN,2020-10-06T06:58:03Z
# block,134175,,,,
fyasa3GgvSeo1gM42ikPWLG4Voh6zgnjgVx4NyrQd2SjXCD68,P-avax1uwxnf803l77xcglphv5wurgkqk3n5mdlv4r9y7,delegator,28592194887,NodeID-Ns1eDN3K9HTnavgiBQhtpzRxUCxJ55Xhc,2020-10-06T06:59:43Z
fyasa3GgvSeo1gM42ikPWLG4Voh6zgnjgVx4NyrQd2SjXCD68,P-avax1ztjqu66j88ccrn297nm86d44ss69qakup88pxa,delegatee,1504852363,NodeID-Ns1eDN3K9HTnavgiBQhtpzRxUCxJ55Xhc,2020-10-06T06:59:43Z
# block,134219,,,,
2LJ4rT8gAP8hb3iCZGdh6jdCsk1S2Ay2K5np9Pt1TGKRUmHETz,P-avax1uwxnf803l77xcglphv5wurgkqk3n5mdlv4r9y7,delegator,102142469437,NodeID-V5R4XjWDtjs8Zi2g3TRNzngnGJiXm2ic,2020-10-06T07:00:22Z
2LJ4rT8gAP8hb3iCZGdh6jdCsk1S2Ay2K5np9Pt1TGKRUmHETz,P-avax1dqdmxa4fxcxf65u94craezpkxx7p6mavzzpuaz,delegatee,11349163271,NodeID-V5R4XjWDtjs8Zi2g3TRNzngnGJiXm2ic,2020-10-06T07:00:22Z
# block,134260,,,,
QikxxR7MvB9BPKtp7777kcAfgErT35bZB4nTi4Zn8cLCF3nt1,P-avax1mn0gk9m62emz5423flxa8cg0z3q2ds2ucxghdy,delegator,69419605068,NodeID-V5R4XjWDtjs8Zi2g3TRNzngnGJiXm2ic,2020-10-06T07:08:20Z
QikxxR7MvB9BPKtp7777kcAfgErT35bZB4nTi4Zn8cLCF3nt1,P-avax1dqdmxa4fxcxf65u94craezpkxx7p6mavzzpuaz,delegatee,7713289452,NodeID-V5R4XjWDtjs8Zi2g3TRNzngnGJiXm2ic,2020-10-06T07:08:20Z
# block,134546,,,,
2HYy9j9AMCi7hRFUVz88imh6BJEgj9hYCXecvNQAfH51uhzve,P-avax13ldq97xlxtjmspmmak6pzr36nzuhs2le3p4slu,staking,7548530623,NodeID-GoonzA5zJDeLjKb4sW8w9DTErW6TRh4nj,2020-10-06T07:19:31Z
# block,134576,,,,
6UBs1NRJedZ2Q8cRcwyC3xAfUj5WpbDXSbw2fLb29qPQryPoz,P-avax1y7pl7t7d84htr8wchckwrmktmwr0n4dmgqed6t,delegator,6793732863,NodeID-FVgkUobMuUBABuMA2KngEsm2SG9XLGvdW,2020-10-06T07:34:45Z
6UBs1NRJedZ2Q8cRcwyC3xAfUj5WpbDXSbw2fLb29qPQryPoz,P-avax1p9w2g4nds47d83sa7vqtm2g3yr28mp7f6pd7tt,delegatee,746481192,NodeID-FVgkUobMuUBABuMA2KngEsm2SG9XLGvdW,2020-10-06T07:34:45Z
# block,135074,,,,
2FbsvTBpoWFbD3Zwn2LUusrMLdRzbCx3t9NetB7fS5u7u3fZN2,P-avax1k4ztrxvjcrxjwmz4mp867ff9lzpj59raq2vl9f,delegator,11105428277,NodeID-HJFNRi3aPyHGDqVCNUw3MMbSHBepsQi2F,2020-10-06T09:00:07Z
2FbsvTBpoWFbD3Zwn2LUusrMLdRzbCx3t9NetB7fS5u7u3fZN2,P-avax18eecywv0pxl35w3tu3zm0xscm0fu77qfykkz3w,delegatee,226641394,NodeID-HJFNRi3aPyHGDqVCNUw3MMbSHBepsQi2F,2020-10-06T09:00:07Z
# block,135140,,,,
2ZHv7GvNhG7JNxzVE1NcMRQaGQXENEtqdBNP4GTwLrnZziNVyo,P-avax1k4ztrxvjcrxjwmz4mp867ff9lzpj59raq2vl9f,delegator,12899219724,NodeID-HJFNRi3aPyHGDqVCNUw3MMbSHBepsQi2F,2020-10-06T09:00:14Z
2ZHv7GvNhG7JNxzVE1NcMRQaGQXENEtqdBNP4GTwLrnZziNVyo,P-avax18eecywv0pxl35w3tu3zm0xscm0fu77qfykkz3w,delegatee,263249383,NodeID-HJFNRi3aPyHGDqVCNUw3MMbSHBepsQi2F,2020-10-06T09:00:14Z
# block,135341,,,,
