Disclaimer: I extracted this by injecting printing statements in the P-Chain code. There is no warranty for accuracy and it is all your responsibility to use this data.,,,,,
Tx ID,Address,Type of Reward,nAVAX,Node,Time
RjvSfi9XV8cFKCXL3pMvHLD1fwi5sTZ1Q7dUvUqKBQqq6mr4C,P-avax1madr7u74w8jjjmqea27laajr94zryc2j2ss5kl,delegatee,102660828,NodeID-CgbgB1UFpUESETV1CVGDM17bE9JA4tVHK,2020-10-06T02:46:15-04:00
2jMLJ9xhFsnLAAZjtaWig7L2FWLKsURrzQv6BL5ZeZaZVZQ2v8,P-avax1madr7u74w8jjjmqea27laajr94zryc2j2ss5kl,delegator,3691400321,NodeID-CgbgB1UFpUESETV1CVGDM17bE9JA4tVHK,2020-10-06T02:48:56-04:00
2jMLJ9xhFsnLAAZjtaWig7L2FWLKsURrzQv6BL5ZeZaZVZQ2v8,P-avax1madr7u74w8jjjmqea27laajr94zryc2j2ss5kl,delegatee,75334701,NodeID-CgbgB1UFpUESETV1CVGDM17bE9JA4tVHK,2020-10-06T02:48:56-04:00
2sDf73chsTDgP3G2Mv3dQKbi73g22gGPE7MM12nZ12nCmfAwmn,P-avax1h5857s0skczpvuanj64m20mgh3n8sqzsk4hh4j,delegator,75719811,NodeID-GSgaA47umS1px2ohVjodW9621Ks63xDxD,2020-10-06T02:54:18-04:00
2sDf73chsTDgP3G2Mv3dQKbi73g22gGPE7MM12nZ12nCmfAwmn,P-avax1h5857s0skczpvuanj64m20mgh3n8sqzsk4hh4j,delegatee,18929953,NodeID-GSgaA47umS1px2ohVjodW9621Ks63xDxD,2020-10-06T02:54:18-04:00
2VXYD7u2vVLC7jKKXmbCanK81nLotsQBNVRNFnam553YuEfRtf,P-avax1nkg97gsevaly0gf3mg94haq9htj83khqk55a00,delegator,8722545000,NodeID-7VNmYGnPqN4NcAgEszTEZrLVsR5hykTSN,2020-10-06T02:58:03-04:00
2VXYD7u2vVLC7jKKXmbCanK81nLotsQBNVRNFnam553YuEfRtf,P-avax1nkg97gsevaly0gf3mg94haq9htj83khqk55a00,delegatee,363439375,NodeID-7VNmYGnPqN4NcAgEszTEZrLVsR5hykTSN,2020-10-06T02:58:03-04:00
fyasa3GgvSeo1gM42ikPWLG4Voh6zgnjgVx4NyrQd2SjXCD68,P-avax1uwxnf803l77xcglphv5wurgkqk3n5mdlv4r9y7,delegator,28592194887,NodeID-Ns1eDN3K9HTnavgiBQhtpzRxUCxJ55Xhc,2020-10-06T02:59:43-04:00
fyasa3GgvSeo1gM42ikPWLG4Voh6zgnjgVx4NyrQd2SjXCD68,P-avax1uwxnf803l77xcglphv5wurgkqk3n5mdlv4r9y7,delegatee,1504852363,NodeID-Ns1eDN3K9HTnavgiBQhtpzRxUCxJ55Xhc,2020-10-06T02:59:43-04:00
2LJ4rT8gAP8hb3iCZGdh6jdCsk1S2Ay2K5np9Pt1TGKRUmHETz,P-avax1uwxnf803l77xcglphv5wurgkqk3n5mdlv4r9y7,delegator,102142469437,NodeID-V5R4XjWDtjs8Zi2g3TRNzngnGJiXm2ic,2020-10-06T03:00:22-04:00
2LJ4rT8gAP8hb3iCZGdh6jdCsk1S2Ay2K5np9Pt1TGKRUmHETz,P-avax1uwxnf803l77xcglphv5wurgkqk3n5mdlv4r9y7,delegatee,11349163271,NodeID-V5R4XjWDtjs8Zi2g3TRNzngnGJiXm2ic,2020-10-06T03:00:22-04:00
QikxxR7MvB9BPKtp7777kcAfgErT35bZB4nTi4Zn8cLCF3nt1,P-avax1mn0gk9m62emz5423flxa8cg0z3q2ds2ucxghdy,delegator,69419605068,NodeID-V5R4XjWDtjs8Zi2g3TRNzngnGJiXm2ic,2020-10-06T03:08:20-04:00
QikxxR7MvB9BPKtp7777kcAfgErT35bZB4nTi4Zn8cLCF3nt1,P-avax1mn0gk9m62emz5423flxa8cg0z3q2ds2ucxghdy,delegatee,7713289452,NodeID-V5R4XjWDtjs8Zi2g3TRNzngnGJiXm2ic,2020-10-06T03:08:20-04:00
2HYy9j9AMCi7hRFUVz88imh6BJEgj9hYCXecvNQAfH51uhzve,P-avax13ldq97xlxtjmspmmak6pzr36nzuhs2le3p4slu,staking,7548530623,NodeID-GoonzA5zJDeLjKb4sW8w9DTErW6TRh4nj,2020-10-06T03:19:31-04:00
6UBs1NRJedZ2Q8cRcwyC3xAfUj5WpbDXSbw2fLb29qPQryPoz,P-avax1y7pl7t7d84htr8wchckwrmktmwr0n4dmgqed6t,delegator,6793732863,NodeID-FVgkUobMuUBABuMA2KngEsm2SG9XLGvdW,2020-10-06T03:34:45-04:00
6UBs1NRJedZ2Q8cRcwyC3xAfUj5WpbDXSbw2fLb29qPQryPoz,P-avax1y7pl7t7d84htr8wchckwrmktmwr0n4dmgqed6t,delegatee,746481192,NodeID-FVgkUobMuUBABuMA2KngEsm2SG9XLGvdW,2020-10-06T03:34:45-04:00
2FbsvTBpoWFbD3Zwn2LUusrMLdRzbCx3t9NetB7fS5u7u3fZN2,P-avax1k4ztrxvjcrxjwmz4mp867ff9lzpj59raq2vl9f,delegator,11105428277,NodeID-HJFNRi3aPyHGDqVCNUw3MMbSHBepsQi2F,2020-10-06T05:00:07-04:00
2FbsvTBpoWFbD3Zwn2LUusrMLdRzbCx3t9NetB7fS5u7u3fZN2,P-avax1k4ztrxvjcrxjwmz4mp867ff9lzpj59raq2vl9f,delegatee,226641394,NodeID-HJFNRi3aPyHGDqVCNUw3MMbSHBepsQi2F,2020-10-06T05:00:07-04:00
