Top total rewards,
P-avax1a8kdxjxadcf9vwxh857w2k6rndpk36n9x2femh,190616.123300854
P-avax1mdaw58xfw3nhrgg6a767906hmfee9vuvkkpry0,190565.57280612102
P-avax1tgu9jt34e3gnzzh9h85c3tdsmmfe73tzuyc2ra,190142.11724782002
P-avax1wxe6fugcuatgk07cgjeea6ju2x2thkhhm94wyp,189976.930579683
P-avax1hccs6xutxayn56yksyhmex4spd7t5w3qcg7e7y,189938.227924735
P-avax1g6zyp7squrq5pxdee5k5y97y9wzehta35d3cxj,189779.741971427
P-avax1axhrvc004m3670vtfd4fzx8sfp6na69ncmljh0,189215.755843717
P-avax1jfz8rd9s7cgv45l0e659pjfke6jd6sj303xav7,189204.949967119
P-avax13u2czku0xj5x0q8jm28ksupgkqrkvwze8nsvkq,186870.414956826
P-avax1c669n9mvfrdrlp6rlrdglrdzn5u02y88lxpd9p,186027.501014224
P-avax1d4nx6y2td2e9z620gs34w4wrsllspyewrv4k89,185775.78249846998
P-avax1wzw46c75sy9crhykqhhqqu7e85hc5mshqsj505,184293.64800870704
P-avax1phjfpes330dlw8lkm6l6xavlcpxryh48xwms2e,183508.344243073
P-avax17rlqm2nmvvth46kva8dnm7sezsh5yr3whc0nqz,182574.104273477
P-avax1lh6ujdrgrywm9l5vjrgcqhd3c2w80q70ls4raw,182181.90620095498
P-avax19anyn4lzpj8zpc5m2w2cgyq3fqy38462lma4e2,181564.79553722308
P-avax1jxf09g3dtx28rhyv4pzps3tlrpl466yyt0swut,181444.87287607903
P-avax1xamw97533q3a7fxprsnravv6ulcluhr9rgv7n0,176263.066829705
P-avax1v63xdtqvmltjpdg5rgtx6mz6yzjurenm5qksxa,174171.91866854898
P-avax1n8sd4lu8lg3hdp4zlmypc9slxs9e2vx3msvgu3,173915.510718593
P-avax16den3kepfyh53ccu2dmrtlgshhdkya6e0dnjwd,172917.520993098
P-avax12wgduflzf88cg2vfvl3mlc6qmm5z5wjgqa2u7c,172711.926446392
P-avax1fcx6ka3ts7xn8s85zd298a0kk9dscfms57ve6e,168193.076315554
P-avax1q809uktzl8acwq4zz00njw9enpkc82umg7n8n8,168192.525051963
P-avax1w47uwv5mtfm9j4vxkz9u4vjsctvxpv6lu2606z,167439.3672471869
P-avax18eg0w6up7sdw4d46y336uqh9cfyd34mly36gte,167118.562632597
P-avax1a87mj0rjw8s8cc5hyw8q7gm03we3t229n4xy97,161796.13032135705
P-avax1tzaj4waztzqjpz7fthpzvaddup26aatwnwvcu4,159622.940534576
P-avax1v75kxuqjq2qh470s6pkjhz84fnjnkz82v47rxh,159379.20137690596
P-avax10rftn84wgwvyunrjjcmp0ld2t3hzz8k2n86s0m,159179.387924783
Popular nodes by delegators,
NodeID-HpMSfYT2ox1vkr1hFNMwmdWuq8QWhvH2u,29588
NodeID-N2t1CAS75972obgtRPHwVanMnRF1rRo1B,22585
NodeID-D3onstuMsGRctDjbksXU6BV3rrCbWHkB9,19613
NodeID-CW1oWgrfSJVz1mbyBGF1qk74XHRQ5vNhF,18342
NodeID-5qxuSbJfb3xqgNQ2pFycD4ybuEH3ATg66,18222
NodeID-DaKj4jkyyCN4B5zVW65krECqpjxYGUFzX,16884
NodeID-7jqH9PXuyYhoTaaQDAF1eVzLtCVSgmSpz,16828
NodeID-M4psvzu2dS7hQ8gHgCUzXfipVKuFEsoFU,16169
NodeID-7LNdeGcBz3QGPzJo4QkVVJxKxLrBmqz9m,15640
NodeID-MTmtdGgEg6gSEVhG5ShyfReR8ubtcZhbb,15285
NodeID-8UynAEU8PuuGetmjiiPcbGmvD3EyycuN6,15119
NodeID-6cem8uPoUwQ6o45VYS3D5mmFFzTuNC2M7,14944
NodeID-5bHjc5xDgTXzCv6mCJQiiXZPei2WaYk7M,14797
NodeID-HvUBEqBfzHJPKbktYKD5y438yTYMroMrw,14501
NodeID-4AWHc6b817tKesbKJ22EAEsJa4GkrDuNE,13636
NodeID-E14zCEsVh4oxzcWUVrs7kFGA8ffrhYvNn,13622
NodeID-CgbgB1UFpUESETV1CVGDM17bE9JA4tVHK,13610
NodeID-LwXHkWth4f244zZ4j5wu5fZmrYDzJ6bda,13367
NodeID-N1ZQvBrWWmu5TryPdQphR3mcxNouZoaL7,13090
NodeID-Gx4oY9nZmAzJrHUfobrmuK9LrJhwejykC,13059
NodeID-Pfj9qXo6LGR3goGzcLSJsCZwYNFFndV75,12929
NodeID-2eJ2XJDpUagguhE9wKFR9JUxYNaBk49Ko,12596
NodeID-NZEnXQpa55wAhwpcUZFgSAREXW1FLdkzQ,12381
NodeID-AVAXg2LFFdkWJjZi4554GBNprWUepqKxm,11940
NodeID-CAy5q5U4AnPR35i225a2QXM7ftYvbZEEg,11686
NodeID-Bv1zHw7jsH86Pgc4uoG67TGLkwrYaNtHo,11513
NodeID-9YiwE69B2wcvXtEW986YcgQxGg9ctzmKZ,11054
NodeID-36i6jQQTfB6Z8NXFPQJsY3FVukaSGKTDp,10896
NodeID-M4ojoWJoEmsVD3vf7KxZ2BnfR5Ue2wr41,10724
NodeID-5ZXpg581dpjG8AdoJgTDeXXLnxrQc9Wtd,10590
NodeID-DircSAEQ2VMVNTDqyc8fdTFDDaWdAm5re,10187
NodeID-7JijGwmqUuditkaCwdcCAr4Xc6AAMy89A,10155
NodeID-D12qpTYhB3feogxvMBzS1QPvwyKyhRK8G,9806
NodeID-GhUSE8wcdouEgd3xeCvmYhmevkdNetfXk,9657
NodeID-NtX4Q64xT4Yad8wdhQ4erSG6mi3DPUwzX,9559
NodeID-B9o1a3g4PFp4JWyMJxRv2nvnWHsq1rSvC,9521
NodeID-EsEPWtpufYKngPEhSnJH5ofiSegQSxLcy,9488
NodeID-WAHX8MXekynX6xZSFiSewY9Qxnhq5HZh,9418
NodeID-LJBZ5j8beyjdcnVdNk5fwtThNn4LokYpV,9417
NodeID-Lai2VTTYk897ae9uq6cGk9FbhKD1KHvFS,9392
NodeID-L4uRarPYc7qoqYn91byV57dCVKLXJAANk,9220
NodeID-9bU9jwHLH6KxcTu8pBbqJQqkHYR4woY7L,9149
NodeID-Dy47rtrYr4eiyRTSnbaFi8KZVnR56XrUC,9091
NodeID-69vkfdsq14i5HZSd6m2kUwRAu59ePbeWw,9045
NodeID-CFoWfGyYw9HPuDK79fjor9d96S9wLAbpR,9027
NodeID-LgCTyGe61GkcwnU2d2VN9MqswSRyezYca,9004
NodeID-6rjd7h5dPJwVEytA9zm86ZBfqEfBuSjKi,8966
NodeID-32aVnE9HYv1FesKKbvvUh1ZvFU3ARNtR2,8876
NodeID-DhNYzUwYHPF24Wfz9MmmVyqLBUF6tkEpb,8844
NodeID-5o4eWuhvE9cmScEoZHr8ngGebxa94rFLo,8805
NodeID-FfRKiU9BpTzMx2KGmrN4YyiwftTAXZ6FH,8738
NodeID-8rEmSGNj5VW2HUjGYMyynpWTYJuDrMpFE,8452
NodeID-4GFFG65jrNUU3X6vsZKgUhmz5iCG21nyS,8344
NodeID-7AnwdDA9QLTgTwzKoFL7j9wsBvourjD3S,8262
NodeID-92aEQicro9Pht1HRiexK9ado2BToyi7fY,8256
NodeID-EtDwJYgMnGtCY8E93KN5McTLbtDDEzQ9g,8232
NodeID-CVXpUPtPZnsEM4mSnJbctBpL6Sgj1rCRt,8118
NodeID-PfY5X2GWsSaj8y6usEji4HZmokHHdWsqi,8104
NodeID-BDFwWjNUNeLYrrfGmYqBMqZSGZQtmCcxx,8090
NodeID-AvYo16nRcdMuFmsEps6STb7faiRoCRgHx,8015
NodeID-BMaQ42mVapxbCcX2RLPRTeRW3th91XdaX,7918
NodeID-GMJcCQwhNFDGQy4NAkKM563BMudjmHpXb,7853
NodeID-KK6ifknXca7VGbqB3d5ccUzKta1zJiVM7,7837
NodeID-Nom39tjDi1Vf51VxuaZvJiDeQHwbyg6MU,7744
NodeID-KcCxyypJ5m55f17fbuzkKqeotY64DScum,7736
NodeID-N46bdSibDXA2hx5pFFTuVG117Khi8j8db,7709
NodeID-P5zxQ1Y22ztxzjunvJU1y8BiSjdP4RUwY,7631
NodeID-GYYGoe6y5TtL8vNBVkvTqk8sPTVVqbGaR,7604
NodeID-6mSXCB3r7oeP8Suy1AWroDY2KEF9hT9Mi,7558
NodeID-PKiUH3xw8SmVNVJsAqFV1mXwDXToFVATi,7509
NodeID-PL7xq98yQ9kTYyGDvVQg3efowKeHug3HN,7477
NodeID-NxWWrAZTb7qytsHvC32Y2NfPFeKfEzW9s,7448
NodeID-G36seLQVfXnaUgaNobbSWg8anRta2WUwE,7367
