Disclaimer: I extracted this by injecting printing statements in the P-Chain code. There is no warranty for accuracy and it is all your responsibility to use this data.,,,,,
Tx ID,Address,Reward Type,nAVAX,Node,Time
mXuWzNHkxmcaiSmarEM1hihuVNfK7qQWFesK3WetkKFd9Q9vJ,P-avax1g474wtgf6g9yu0mpawh57pyl5cnx0quez03md8,delegator,335871509,NodeID-N2t1CAS75972obgtRPHwVanMnRF1rRo1B,2021-01-20T03:07:04Z
mXuWzNHkxmcaiSmarEM1hihuVNfK7qQWFesK3WetkKFd9Q9vJ,P-avax1y8fmzkfhdc2f68vz8lfvsmx0dfv52ckhlp7n06,delegatee,6854521,NodeID-N2t1CAS75972obgtRPHwVanMnRF1rRo1B,2021-01-20T03:07:04Z
# block,279327,,,,
2eLqEEP2fGxfNmgqP3yqvLG6Hw3adNTj2Wf7ozM4edjTSLLCR5,P-avax1gp63tdcw23qxhhsrl3tew9yxjtqthq42wuxpxx,delegator,14692563519,NodeID-CW1oWgrfSJVz1mbyBGF1qk74XHRQ5vNhF,2021-01-20T04:28:19Z
2eLqEEP2fGxfNmgqP3yqvLG6Hw3adNTj2Wf7ozM4edjTSLLCR5,P-avax1spz62u9us33pptef736eptpl5fnq9hgnnjnhgr,delegatee,299848236,NodeID-CW1oWgrfSJVz1mbyBGF1qk74XHRQ5vNhF,2021-01-20T04:28:19Z
# block,279333,,,,
DXkXjMC6kg2VrmQE9b9gzY7d1Wh4pALzThyQN8oCu7M1i2o19,P-avax1tu4gwdft5kqtj8l6ah6t0ymp5auewgrmrufcks,delegator,14692562294,NodeID-AbfdkS6u8F8kxh2pPuK32KASNK4sSr4QR,2021-01-20T04:29:07Z
DXkXjMC6kg2VrmQE9b9gzY7d1Wh4pALzThyQN8oCu7M1i2o19,P-avax1qq7lemp0usva663qvna60ay0yk85cqa53vtgz6,delegatee,299848211,NodeID-AbfdkS6u8F8kxh2pPuK32KASNK4sSr4QR,2021-01-20T04:29:07Z
# block,279337,,,,
rzvAUWtWQWWAQ1rZ8QR18AEky3HtV6P8kMYNs5wXWfHnvP2MR,P-avax10592vke4h0k8x5jne83dff9mepddnfnvkfrm4q,delegator,14692561068,NodeID-CW1oWgrfSJVz1mbyBGF1qk74XHRQ5vNhF,2021-01-20T04:33:10Z
